timestamp,x,y,type,deltaY
1758901909642,430,599,wheel,4
1758901909659,430,599,wheel,4
1758901909675,430,599,wheel,1
1758901909692,430,599,wheel,1
1758901909710,430,599,wheel,1
1758901909759,430,599,wheel,1
1758901909852,430,599,wheel,0
1758901911061,432,596,move,0
1758901911065,436,594,move,0
1758901911071,440,589,move,0
1758901911078,444,584,move,0
1758901911086,449,579,move,0
1758901911092,453,574,move,0
1758901911097,456,570,move,0
1758901911104,460,565,move,0
1758901911111,464,560,move,0
1758901911120,465,556,move,0
1758901911124,469,552,move,0
1758901911131,472,546,move,0
1758901911568,647,346,move,0
1758901912041,665,464,move,0
1758901912478,596,497,move,0
1758901912952,389,370,move,0
1758901912957,388,368,move,0
1758901912963,387,365,move,0
1758901913443,360,326,move,0
1758901913901,360,326,wheel,27
1758901913901,360,326,wheel,231
1758901913902,360,326,wheel,0
1758901914359,360,326,wheel,1
1758901914360,360,326,wheel,17
1758901914360,360,326,wheel,69
1758901914375,360,326,wheel,17
1758901914392,360,326,wheel,10
1758901914408,360,326,wheel,13
1758901914425,360,326,wheel,8
1758901914442,360,326,wheel,11
1758901914459,360,326,wheel,7
1758901914475,360,326,wheel,11
1758901914492,360,326,wheel,7
1758901914509,360,326,wheel,10
1758901914525,360,326,wheel,11
1758901914542,360,326,wheel,8
1758901914559,360,326,wheel,13
1758901914575,360,326,wheel,9
1758901914592,360,326,wheel,14
1758901914609,360,326,wheel,6
1758901914625,360,326,wheel,6
1758901914642,360,326,wheel,2
1758901914659,360,326,wheel,1
1758901914856,360,326,wheel,0
1758901914896,360,326,wheel,1
1758901915138,359,327,move,0
1758901915142,358,329,move,0
1758901915149,357,331,move,0
1758901915155,355,332,move,0
1758901915347,305,368,move,0
